Country,Year,life_expectancy,gdp_per_capita,population,infant_mortality,health_exp_pct_gdp,physicians_per_1000,co2_per_capita,electricity_access_pct,literacy_rate,unemployment_rate,last_updated
Canada,2005,53.2,70258.14,372207259,12.1,,5.73,17.26,82.9,75.9,17.0,2023-02-13
Canada,2006,70.4,34003.25,1249794059,65.8,7.47,1.57,7.66,63.1,48.8,19.1,2023-02-05
Canada,2007,,35172.06,412604830,76.0,14.22,0.86,17.38,53.9,92.6,,2023-02-05
Canada,2007,63.0,21150.43,1012926449,40.7,3.3,1.34,,16.9,89.6,15.4,2023-02-14
Canada,2008,50.8,21859.85,758517083,51.4,,0.85,16.72,98.6,66.8,6.0,2023-02-06
Canada,2008,70.7,66062.14,487258986,54.9,11.05,1.62,17.58,81.8,76.1,25.7,2023-02-14
Canada,2009,74.8,67042.56,976611310,55.1,11.9,4.52,3.26,89.3,91.0,1.8,2023-02-15
Canada,2009,50.6,73186.76,165292640,47.0,6.38,3.33,13.06,84.7,44.4,1.3,2023-02-06
Canada,2010,54.5,27141.95,1041039804,14.5,15.09,5.0,10.2,10.6,,18.9,2023-02-15
Canada,2011,72.1,21154.38,887790981,,14.48,0.66,15.24,58.7,97.4,,2024-06-17
Canada,2011,72.1,21154.38,887790981,44.1,,0.66,15.24,58.7,97.4,10.9,2023-02-16
Canada,2011,80.6,47994.34,840923346,53.9,4.81,5.49,8.43,44.5,66.3,2.4,2023-02-07
Canada,2012,75.8,7082.49,844611377,21.1,8.23,1.75,7.18,74.7,,17.4,2023-02-07
Canada,2012,82.6,8649.52,1312151267,55.7,3.09,1.82,14.19,16.1,70.8,11.0,2023-02-16
Canada,2013,51.6,69787.18,1362897812,77.6,,0.8,15.19,12.2,31.5,10.4,2023-02-16
Canada,2013,73.2,74978.0,1025734650,18.8,2.5,1.59,11.94,14.6,64.7,18.3,2023-02-08
Canada,2014,77.0,54821.98,624540837,23.3,17.95,,9.08,,,21.1,2023-02-17
Canada,2014,77.0,8974.56,105655325,58.8,9.93,4.14,8.75,,87.3,,2023-02-08
Canada,2015,,54599.69,916488444,23.3,17.21,0.92,8.7,94.9,,19.5,2023-02-17
Canada,2015,59.5,47423.34,505682968,9.1,16.68,0.84,19.01,50.1,43.0,16.7,2023-02-08
Canada,2016,59.6,78726.22,573362941,,,1.29,0.72,68.7,55.8,26.1,2023-02-18
Canada,2016,75.6,64621.61,922467321,56.0,15.59,1.51,9.84,29.9,99.1,28.4,2023-02-09
Canada,2017,83.9,15249.28,1216138123,62.6,14.33,,15.24,66.4,39.2,1.9,2023-02-18
Canada,2018,82.4,14855.74,795339350,73.4,2.54,4.19,,93.2,98.0,28.4,2023-02-09
Canada,2018,71.6,63824.71,674390530,11.2,4.0,4.12,8.66,28.0,64.4,2.9,2023-02-19
Canada,2019,59.4,63905.95,434851561,37.5,2.19,0.45,7.91,53.2,72.0,9.5,2023-02-19
Canada,2019,80.2,67641.68,447081112,66.7,2.59,3.59,4.68,20.9,,21.2,2023-02-10
Canada,2020,75.4,5695.83,441748827,44.1,14.65,1.93,12.56,89.7,73.1,7.8,2023-02-10
Canada,2020,80.1,62498.15,55946546,39.5,3.68,,19.73,22.8,,18.9,2023-02-19
Canada,2021,,1276.78,457382600,42.4,3.41,2.12,0.76,17.1,57.8,,2023-02-20
Canada,2022,50.7,70038.78,740747519,75.2,14.78,5.99,7.08,79.0,58.1,,2024-06-26
Canada,2022,50.7,70038.78,740747519,,14.78,5.99,7.08,79.0,,14.9,2023-02-11
Canada,2022,74.1,64146.64,280610266,15.1,3.67,3.83,14.16,12.8,95.5,2.5,2023-02-20
Canada,2023,74.8,69742.05,999864661,64.5,7.43,4.89,1.69,90.5,68.3,,2023-02-21
Canada,2023,80.6,78734.64,1075698642,34.6,8.74,4.43,4.85,19.9,54.8,9.3,2023-02-11
Chile,2000,60.4,1443.77,421267568,47.1,8.02,3.22,17.54,,48.6,,2024-01-06
Chile,2001,83.2,79890.08,329952444,58.7,,0.07,0.28,51.5,64.2,1.7,2024-01-06
Chile,2002,60.3,45011.5,421636242,15.0,8.51,1.41,10.74,27.9,65.6,5.6,2024-01-07
Chile,2003,76.4,9276.34,655189475,7.5,11.57,1.6,10.6,56.6,,16.9,2024-01-07
Chile,2004,64.1,75951.83,1088171680,24.3,15.51,2.61,16.59,84.1,43.2,21.3,2024-01-08
Chile,2005,60.4,24059.67,1015932762,19.9,2.01,4.3,,19.4,46.6,12.0,2024-01-08
Chile,2006,51.6,77660.58,1002630243,27.2,7.1,2.7,12.56,23.2,43.2,25.9,2024-01-08
Chile,2007,63.3,69766.11,928575387,28.7,12.94,0.14,14.74,53.8,86.9,28.7,2024-01-09
Chile,2008,81.8,41217.51,504518888,38.3,13.04,5.31,4.22,92.6,87.1,29.4,2024-01-09
Chile,2009,59.8,8923.49,157581380,24.7,11.83,4.83,18.0,66.1,30.4,6.4,2024-01-10
Chile,2011,67.5,3950.08,488194927,16.0,12.35,2.8,9.96,48.5,96.9,7.2,2024-01-10
Chile,2012,75.8,,1300664729,31.5,9.42,,,35.9,41.2,16.8,2024-01-11
Chile,2013,52.7,,873469180,16.7,,4.33,10.64,45.6,52.6,18.7,2024-01-11
Chile,2014,73.5,6442.3,645228620,71.5,3.51,5.93,18.99,17.0,,11.5,2024-01-12
Chile,2015,64.6,35547.98,888123205,62.4,2.54,3.57,3.82,41.1,54.4,14.6,2024-01-12
Chile,2016,53.8,12077.48,47296460,38.7,17.27,0.71,18.93,76.0,74.6,,2024-01-12
Chile,2017,53.7,40627.97,976079047,47.8,15.32,,13.84,58.1,56.5,10.9,2024-01-13
Chile,2018,81.2,39945.99,1154700068,33.4,3.64,0.39,1.12,44.2,53.6,21.8,2024-01-13
Chile,2019,,18079.3,384329459,44.7,,0.82,18.88,82.4,,12.8,2024-01-14
Chile,2020,77.7,41061.93,179425706,59.6,8.35,1.59,7.57,54.8,54.0,8.0,2024-01-14
Chile,2021,50.7,61913.58,239737378,5.4,,4.65,16.3,54.4,44.4,,2024-01-15
Chile,2022,58.6,72320.92,146567855,78.6,15.76,4.13,18.78,75.0,,13.8,2024-01-15
China,2000,58.3,17314.79,1030581542,27.0,,0.99,19.2,86.6,90.5,12.8,2023-08-19
China,2000,78.7,26475.74,489785351,48.5,6.39,0.18,14.73,66.3,70.7,22.5,2023-08-12
China,2001,55.0,1185.0,28452119,47.8,9.29,3.12,0.25,48.0,80.3,13.8,2023-08-20
China,2001,57.2,28522.24,176991143,12.1,,5.15,19.26,66.6,42.9,4.1,2023-08-12
China,2002,70.3,49653.66,1094156193,56.9,15.35,0.36,14.98,,50.0,19.6,2023-08-12
China,2002,58.2,65144.79,824009521,18.4,5.79,3.78,16.62,,48.1,26.1,2023-08-20
China,2003,83.5,3157.17,811920084,15.0,13.4,1.07,4.78,,94.0,7.1,2023-08-13
China,2003,65.7,39288.07,286356926,,7.74,5.97,9.66,,69.6,27.6,2023-08-21
China,2004,65.8,57636.59,820936580,40.4,5.08,2.79,4.99,92.3,53.5,28.6,2023-08-21
China,2005,,43663.77,181568173,31.3,3.59,3.75,8.99,80.0,45.4,5.8,2023-08-22
China,2005,67.5,72986.92,205687072,52.4,5.73,0.96,,63.4,82.8,,2023-08-13
China,2006,82.4,56978.53,586783612,42.3,3.35,5.91,13.36,35.7,71.0,4.2,2023-08-22
China,2006,64.2,78735.11,409502414,25.0,7.67,3.4,5.12,92.4,48.6,27.0,2023-08-14
China,2007,56.1,52018.41,344013520,58.0,14.43,4.05,12.33,90.3,35.5,10.6,2023-08-23
China,2008,84.6,31456.49,1025791472,55.4,,1.45,5.7,47.0,46.4,1.6,2023-08-23
China,2008,,13915.58,1355673580,37.3,17.13,4.07,6.1,26.9,51.3,,2023-08-14
China,2009,83.8,27654.85,474240377,2.6,12.88,4.96,3.02,24.4,85.3,18.9,2023-08-23
China,2011,77.8,11739.99,182883446,52.2,5.15,0.6,3.42,93.1,87.5,11.3,2023-08-15
China,2011,60.8,29813.65,1077739119,65.3,8.41,5.68,8.19,79.5,63.9,27.0,2023-08-24
China,2012,53.1,74951.22,1155836010,63.7,5.21,4.83,17.02,36.0,96.7,2.4,2023-08-24
China,2012,68.8,54331.38,955898277,51.0,6.26,,9.17,,69.9,25.1,2023-08-15
China,2013,55.7,55496.32,944173856,78.4,17.77,4.13,4.95,81.9,37.5,23.6,2023-08-15
China,2014,70.2,51789.43,24248296,76.9,2.71,0.88,0.38,61.0,95.3,20.3,2023-08-25
China,2014,63.4,50635.51,602484753,,6.97,4.58,18.73,94.7,,26.4,2023-08-16
China,2015,50.5,43590.22,643658387,40.9,3.16,4.11,10.11,,64.0,5.3,2023-08-25
China,2015,58.8,5849.13,375562175,73.2,12.13,4.33,5.22,74.7,32.0,,2023-08-16
China,2016,55.1,65928.78,329426302,52.9,8.48,3.58,,11.5,,8.8,2023-08-17
China,2016,56.0,69855.37,858556176,14.3,17.4,3.12,,66.4,47.7,24.3,2023-08-26
China,2017,85.0,17308.79,371606452,53.7,17.45,5.5,10.11,81.6,39.5,29.3,2023-08-17
China,2017,,40398.63,637212153,60.8,4.12,3.29,10.97,18.1,59.3,25.7,2023-08-26
China,2018,55.7,24304.14,140666919,23.2,15.06,2.28,1.86,40.8,98.7,19.3,2023-08-18
China,2018,,7712.31,368142320,70.2,4.06,4.33,2.11,66.1,54.9,23.9,2023-08-27
China,2019,72.4,19236.76,999267566,70.1,4.03,5.2,11.91,21.4,59.9,5.7,2023-08-27
China,2019,55.8,78901.06,1149278188,24.0,3.12,0.36,2.5,62.3,95.0,15.4,2023-08-18
China,2020,65.6,56832.39,1024755895,15.6,7.78,3.83,1.51,42.5,67.4,,2023-08-19
China,2020,76.6,8910.82,708842723,65.5,16.98,3.09,19.01,58.2,57.6,25.6,2023-08-27
China,2021,66.5,39479.84,1185575610,66.9,8.46,2.01,9.89,61.5,,24.0,2023-08-28
China,2021,78.6,34849.35,1115048816,48.4,16.19,2.48,12.13,66.7,59.2,5.2,2023-08-19
China,2022,61.7,8992.27,334763801,76.0,6.88,1.03,9.27,37.6,32.5,10.4,2023-08-28
China,2023,69.3,28846.43,626500207,77.3,8.04,1.56,4.94,51.2,83.2,7.0,2023-08-29
Colombia,2000,63.6,31148.2,476871752,44.2,4.47,3.33,10.88,78.6,88.4,13.8,2023-04-07
Colombia,2001,59.1,15972.6,81177791,28.7,6.32,5.8,11.2,41.3,70.6,5.0,2023-04-07
Colombia,2002,71.9,39367.38,562789431,79.5,16.09,,11.43,65.9,44.1,12.5,2023-04-07
Colombia,2004,69.0,18606.1,1349658371,72.9,13.55,3.21,17.41,21.8,85.3,4.6,2023-04-08
Colombia,2005,59.7,70228.7,1321686910,,9.4,5.89,9.72,87.7,71.2,11.9,2023-04-08
Colombia,2006,57.1,61062.96,541463439,41.9,9.88,3.47,17.32,98.3,58.5,25.0,2023-04-09
Colombia,2007,70.1,76505.75,281064084,10.5,15.66,2.65,16.95,90.4,34.4,26.6,2023-04-09
Colombia,2008,67.9,50314.1,1296972458,3.5,9.63,4.13,14.48,72.3,39.4,9.7,2023-04-10
Colombia,2009,78.2,22661.41,295381596,76.7,2.14,5.99,13.57,84.6,50.6,1.4,2023-04-10
Colombia,2010,79.2,59367.85,200418977,60.8,14.3,3.96,15.35,,73.0,3.6,2023-04-10
Colombia,2011,52.7,32899.67,570245531,7.1,7.58,0.68,16.18,95.3,35.1,28.7,2023-04-11
Colombia,2012,60.5,6610.53,701123663,64.0,13.31,0.32,1.55,46.3,50.7,7.7,2023-04-11
Colombia,2013,78.1,74373.63,567441220,72.7,7.14,2.87,4.6,67.6,98.5,18.5,2023-04-12
Colombia,2014,72.7,10272.19,1244178382,41.2,9.19,,12.53,16.5,77.8,8.0,2023-04-12
Colombia,2015,78.8,64414.7,773725103,42.6,,4.66,5.5,54.7,,4.9,2023-04-13
Colombia,2016,51.9,60017.3,444962719,2.0,10.18,,5.6,73.6,34.4,25.3,2023-04-13
Colombia,2018,75.9,25643.48,143098397,30.1,6.33,5.06,6.34,81.0,92.4,13.6,2023-04-14
Colombia,2019,63.2,77144.23,125460689,55.6,9.9,2.34,12.69,73.3,30.3,5.8,2023-04-14
Colombia,2020,73.3,77300.78,1065572387,76.2,13.24,1.8,2.2,80.4,75.1,,2023-04-14
Colombia,2021,83.5,40281.89,606104425,37.7,5.34,2.22,7.46,14.7,83.7,13.1,2023-04-15
Colombia,2022,79.8,17353.53,920466198,38.8,16.08,1.31,13.59,64.7,50.7,5.0,2024-06-26
Colombia,2022,79.8,17353.53,920466198,38.8,,1.31,13.59,64.7,50.7,5.0,2023-04-15
Colombia,2023,75.9,25592.37,902943229,32.8,13.41,,17.82,,55.7,2.7,2023-04-16
Czech Republic,2000,60.2,33950.44,989518785,77.9,16.29,2.07,19.96,,31.9,24.9,2024-05-26
Czech Republic,2000,82.7,76415.0,1342486994,67.3,7.82,0.45,11.42,60.3,89.5,29.9,2024-06-04
Czech Republic,2001,62.1,15279.19,7217354,41.7,10.89,4.95,10.14,92.5,74.0,25.4,2024-06-05
Czech Republic,2001,52.1,19353.27,596827165,59.0,11.99,1.44,10.12,93.4,87.1,10.4,2024-05-26
Czech Republic,2002,74.8,5464.72,49707418,15.1,13.65,1.12,10.28,18.4,94.5,11.0,2024-05-27
Czech Republic,2003,73.6,14033.53,266074099,74.3,2.52,2.79,6.34,69.9,88.8,11.5,2024-06-05
Czech Republic,2003,83.1,987.23,650057194,3.9,16.54,,1.59,19.9,56.8,28.3,2024-05-27
Czech Republic,2004,80.4,29633.3,60977572,78.0,2.27,5.69,7.44,10.9,78.2,29.4,2024-05-28
Czech Republic,2004,84.4,62821.36,1256137181,36.2,5.75,2.48,,19.8,48.9,2.4,2024-06-06
Czech Republic,2005,79.0,2460.76,945615275,74.7,5.79,4.17,,96.6,46.4,3.9,2024-06-06
Czech Republic,2005,55.6,14909.2,791971711,51.7,13.83,1.1,19.18,67.5,89.3,16.7,2024-05-28
Czech Republic,2006,84.2,46779.0,1213689579,,12.81,3.3,0.17,13.6,44.1,,2024-05-29
Czech Republic,2007,75.4,54101.81,470841703,15.2,11.29,2.91,,49.7,53.7,9.5,2024-06-06
Czech Republic,2007,60.7,29125.21,589042497,9.7,2.68,4.05,,50.0,74.4,25.0,2024-05-29
Czech Republic,2008,59.3,8039.02,485926386,4.9,4.98,4.49,6.58,70.1,80.2,17.9,2024-06-07
Czech Republic,2008,72.4,76308.99,1175554481,35.2,12.32,1.08,11.25,98.3,66.3,27.9,2024-05-30
Czech Republic,2009,50.8,59222.89,1342321908,69.3,4.69,1.97,3.53,64.1,79.9,10.2,2024-06-07
Czech Republic,2009,85.0,46547.99,59655457,,6.39,,16.43,34.8,85.8,9.4,2024-05-30
Czech Republic,2010,84.1,29250.8,842126007,49.6,10.97,5.49,13.52,46.3,90.4,6.3,2024-05-30
Czech Republic,2010,,33996.52,1195694734,62.2,3.03,,4.78,60.2,97.0,26.5,2024-06-08
Czech Republic,2011,83.3,50219.11,1143847346,53.0,15.43,5.67,5.53,25.3,63.9,21.4,2024-05-31
Czech Republic,2011,60.2,19135.26,745754560,10.9,10.79,0.03,6.54,29.8,98.0,22.1,2024-06-08
Czech Republic,2012,50.1,27763.34,1356418639,56.2,8.42,1.17,7.19,25.3,37.4,27.3,2024-05-31
Czech Republic,2012,53.2,41585.65,299220309,43.8,15.37,3.7,12.71,,94.9,28.0,2024-06-09
Czech Republic,2013,60.7,37037.17,261587798,51.6,10.0,0.64,4.03,53.2,92.1,17.4,2024-06-09
Czech Republic,2013,55.7,4834.54,461958684,38.0,5.28,1.82,4.1,79.7,79.9,19.4,2024-06-01
Czech Republic,2014,81.8,77577.84,243508218,19.4,10.41,0.57,8.79,62.4,66.5,10.6,2024-06-01
Czech Republic,2014,61.9,45927.21,626608061,53.4,2.81,2.97,5.99,39.4,97.3,6.3,2024-06-10
Czech Republic,2015,67.8,69111.0,583629781,60.0,15.7,1.87,7.92,42.1,88.3,2.3,2024-06-10
Czech Republic,2015,83.6,16878.38,916936486,5.4,3.06,3.32,,12.0,42.0,17.4,2024-06-02
Czech Republic,2016,,45452.76,611086958,44.1,5.16,2.6,10.08,91.1,48.3,26.2,2024-06-10
Czech Republic,2016,57.1,53626.63,255875625,49.8,8.59,3.93,19.9,94.4,30.3,26.7,2024-06-02
Czech Republic,2017,50.7,58108.19,50254852,79.8,15.96,,5.22,44.3,54.9,11.8,2024-06-11
